# Jadwal kedatangan/keberangkatan Stasiun Purwokerto (PWT) untuk 2026-05-28.
# Sumber: 168railway.com/jadwal-stasiun/purwokerto (berbasis GAPEKA 2025).
# Diambil manual oleh pemilik produk. Kolom: trainNo TAB name TAB route TAB arrivePWT TAB departPWT
# arrive/depart "-" artinya kosong (origin/terminus di PWT). Route = "Asal → Tujuan".
KP/11026	Tambahan GMR ML	Gambir → Malang	19:53	19:58
KP/11020	KLB Kirim Lokomotif	Cirebon → Yogyakarta	20:00	20:05
KP/11031	KLB Kirim Rangkaian	Kroya → Tegal	-	20:06
PLB 7040	Tambahan PSE LPN	Pasar Senen → Lempuyangan	20:10	20:15
KA 247	Logawa	Surabaya Gubeng → Purwokerto	20:20	-
KA 247C	Logawa	Surabaya Gubeng → Purwokerto	20:20	-
PLB 7704	Motis Tengah	Kampung Bandan → Purwosari	20:22	20:32
KA 285	Serayu	Kroya → Purwokerto	20:35	-
PLB 7037	Tambahan YK-GMR	Yogyakarta → Gambir	20:47	20:55
KA 251	Jayakarta	Surabaya Gubeng → Pasar Senen	21:04	21:11
KA 251B	Jayakarta	Surabaya Gubeng → Pasar Senen	21:04	21:11
KA 8	Bima	Gambir → Surabaya Gubeng	21:16	21:21
KA 57F	Purwojaya	Kroya → Gambir	21:32	21:37
KA 113	Sawunggalih	Kutoarjo → Pasar Senen	21:52	21:57
KA 113B	Sawunggalih	Kutoarjo → Pasar Senen	21:52	21:57
KA 252B	Jayakarta	Pasar Senen → Surabaya Gubeng	21:53	21:58
KA 252	Jayakarta	Pasar Senen → Surabaya Gubeng	21:54	21:59
PLB 7008C	Tambahan GMR YK	Gambir → Yogyakarta	22:08	22:13
KA 73	Senja Utama Solo	Solo Balapan → Pasar Senen	22:10	22:15
KA 73B	Senja Utama Solo	Solo Balapan → Pasar Senen	22:11	22:15
PLB 7707	Motis Tengah	Lempuyangan → Kampung Bandan	22:22	22:32
KA 190	Kamandaka	Tegal → Purwokerto	22:34	-
KA 35	Gajayana	Malang → Gambir	22:35	22:40
KA 104	Bogowonto	Pasar Senen → Lempuyangan	22:56	23:01
KA 104B	Bogowonto	Pasar Senen → Lempuyangan	22:56	23:01
KA 45	Taksaka	Yogyakarta → Gambir	22:59	23:02
KA 36	Gajayana	Gambir → Malang	23:11	23:16
KA 15	Argo Dwipangga	Solo Balapan → Gambir	23:12	23:15
KA 108B	Senja Utama Yogyakarta	Pasar Senen → Yogyakarta	23:32	23:37
KA 108	Senja Utama Yogyakarta	Pasar Senen → Yogyakarta	23:34	23:39
KA 105	Gajahwong	Lempuyangan → Pasar Senen	23:42	23:47
KA 105B	Gajahwong	Lempuyangan → Pasar Senen	23:42	23:47
KA 302	Parcel Tengah	Jakarta Gudang → Malang	23:45	23:55
